Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,10.125000,10.125000,10.000000,10.000000,3.283057,35200
1996-03-19,10.125000,10.125000,10.125000,10.125000,3.324095,500
1996-03-20,10.125000,10.125000,10.125000,10.125000,3.324095,500
1996-03-21,10.250000,10.250000,10.250000,10.250000,3.365134,37700
1996-03-22,10.250000,10.250000,10.250000,10.250000,3.365134,600
1996-03-25,10.250000,10.250000,10.250000,10.250000,3.365134,500
1996-03-26,10.250000,10.250000,10.250000,10.250000,3.365134,0
1996-03-27,10.250000,10.250000,10.250000,10.250000,3.365134,400
1996-03-28,10.250000,10.250000,10.250000,10.250000,3.365134,100
1996-03-29,10.125000,10.250000,10.125000,10.250000,3.365134,200200
1996-04-01,10.375000,10.375000,10.375000,10.375000,3.406171,900
1996-04-02,10.375000,10.375000,10.375000,10.375000,3.406171,3700
1996-04-03,10.250000,10.250000,10.187500,10.250000,3.365134,5300
1996-04-04,10.375000,10.375000,10.375000,10.375000,3.406171,100
1996-04-08,10.125000,10.187500,10.125000,10.187500,3.344615,10300
1996-04-09,10.312500,10.312500,10.312500,10.312500,3.385652,10000
1996-04-10,10.312500,10.375000,10.250000,10.250000,3.365134,8600
1996-04-11,10.250000,10.250000,10.250000,10.250000,3.365134,0
1996-04-12,10.250000,10.250000,10.250000,10.250000,3.365134,0
1996-04-15,10.375000,10.500000,10.375000,10.500000,3.447210,65300
1996-04-16,10.500000,10.500000,10.375000,10.437500,3.426691,16000
1996-04-17,10.437500,10.437500,10.437500,10.437500,3.426691,1300
1996-04-18,10.375000,10.500000,10.375000,10.500000,3.447210,19200
1996-04-19,10.500000,10.500000,10.500000,10.500000,3.447210,2200
1996-04-22,10.562500,10.562500,10.500000,10.500000,3.447210,1400
1996-04-23,10.625000,10.687500,10.625000,10.625000,3.488248,246000
1996-04-24,10.687500,10.687500,10.687500,10.687500,3.508767,5400
1996-04-25,10.687500,10.750000,10.687500,10.687500,3.508767,21100
1996-04-26,10.812500,10.875000,10.750000,10.812500,3.549804,51800
1996-04-29,10.875000,10.875000,10.687500,10.750000,3.529287,35900
1996-04-30,10.687500,10.687500,10.687500,10.687500,3.508767,1600
1996-05-01,10.687500,10.687500,10.625000,10.687500,3.508767,3900
1996-05-02,10.750000,10.875000,10.687500,10.812500,3.549804,145600
1996-05-03,10.812500,10.812500,10.750000,10.812500,3.549804,19000
1996-05-06,10.875000,10.875000,10.750000,10.750000,3.529287,51500
1996-05-07,10.812500,10.812500,10.812500,10.812500,3.549804,14600
1996-05-08,10.812500,10.812500,10.687500,10.812500,3.549804,16500
1996-05-09,10.750000,10.750000,10.687500,10.750000,3.529287,4000
1996-05-10,10.750000,10.750000,10.750000,10.750000,3.529287,1000
1996-05-13,10.687500,10.687500,10.562500,10.562500,3.467729,25500
1996-05-14,10.687500,10.750000,10.687500,10.750000,3.529287,2100
1996-05-15,10.625000,10.687500,10.625000,10.687500,3.508767,3100
1996-05-16,10.562500,10.625000,10.437500,10.562500,3.467729,18300
1996-05-17,10.437500,10.562500,10.437500,10.562500,3.467729,5100
1996-05-20,10.500000,10.625000,10.500000,10.625000,3.488248,3500
1996-05-21,10.750000,10.812500,10.437500,10.562500,3.467729,29000
